,from,to,store,digital,preorder,Start Date,End Date,Task ID,Task Name,Resource
79,2021-01-07 11:40:00,2021-01-07 11:43:00,Best Buy ,False,False,1610019600000,1610019780000,79,Best Buy 2021-01-07T11:40:00 to 2021-01-07T11:43:00,Best Buy 
80,2020-12-29 17:25:00,2020-12-29 17:29:00,Playstation Direct ,False,False,1609262700000,1609262940000,80,Playstation Direct 2020-12-29T17:25:00 to 2020-12-29T17:29:00,Playstation Direct 
81,2020-12-29 17:14:00,2020-12-29 17:24:00,Playstation Direct ,False,False,1609262040000,1609262640000,81,Playstation Direct 2020-12-29T17:14:00 to 2020-12-29T17:24:00,Playstation Direct 
82,2020-12-29 17:09:00,2020-12-29 17:12:00,Playstation Direct ,False,False,1609261740000,1609261920000,82,Playstation Direct 2020-12-29T17:09:00 to 2020-12-29T17:12:00,Playstation Direct 
83,2020-12-29 17:01:00,2020-12-29 17:08:00,Playstation Direct ,False,False,1609261260000,1609261680000,83,Playstation Direct 2020-12-29T17:01:00 to 2020-12-29T17:08:00,Playstation Direct 
84,2020-12-29 15:42:00,2020-12-29 15:43:00,Amazon ,False,False,1609256520000,1609256580000,84,Amazon 2020-12-29T15:42:00 to 2020-12-29T15:43:00,Amazon 
85,2020-12-29 11:56:00,2020-12-29 11:58:00,Amazon ,True,False,1609242960000,1609243080000,85,Amazon Digital Edition 2020-12-29T11:56:00 to 2020-12-29T11:58:00,Amazon 
86,2020-12-29 11:10:00,2020-12-29 11:19:00,Amazon ,False,False,1609240200000,1609240740000,86,Amazon 2020-12-29T11:10:00 to 2020-12-29T11:19:00,Amazon 
87,2020-12-29 06:27:00,2020-12-29 06:31:00,Target ,True,False,1609223220000,1609223460000,87,Target Digital Edition 2020-12-29T06:27:00 to 2020-12-29T06:31:00,Target 
88,2020-12-28 15:48:00,2020-12-28 16:16:00,Playstation Direct ,False,False,1609170480000,1609172160000,88,Playstation Direct 2020-12-28T15:48:00 to 2020-12-28T16:16:00,Playstation Direct 
89,2020-12-21 12:36:00,2020-12-21 13:18:00,Best Buy ,True,False,1608554160000,1608556680000,89,Best Buy Digital Edition 2020-12-21T12:36:00 to 2020-12-21T13:18:00,Best Buy 
90,2020-12-21 05:19:00,2020-12-21 05:25:00,Target ,True,False,1608527940000,1608528300000,90,Target Digital Edition 2020-12-21T05:19:00 to 2020-12-21T05:25:00,Target 
91,2020-12-18 15:41:00,2020-12-18 15:57:00,Playstation Direct ,False,False,1608306060000,1608307020000,91,Playstation Direct 2020-12-18T15:41:00 to 2020-12-18T15:57:00,Playstation Direct 
92,2020-12-18 15:41:00,2020-12-18 15:55:00,Playstation Direct ,True,False,1608306060000,1608306900000,92,Playstation Direct Digital Edition 2020-12-18T15:41:00 to 2020-12-18T15:55:00,Playstation Direct 
93,2020-12-18 15:37:00,2020-12-18 15:39:00,Playstation Direct ,False,False,1608305820000,1608305940000,93,Playstation Direct 2020-12-18T15:37:00 to 2020-12-18T15:39:00,Playstation Direct 
94,2020-12-18 15:34:00,2020-12-18 15:37:00,Playstation Direct ,True,False,1608305640000,1608305820000,94,Playstation Direct Digital Edition 2020-12-18T15:34:00 to 2020-12-18T15:37:00,Playstation Direct 
95,2020-12-17 18:24:00,2020-12-17 18:39:00,Playstation Direct ,False,False,1608229440000,1608230340000,95,Playstation Direct 2020-12-17T18:24:00 to 2020-12-17T18:39:00,Playstation Direct 
96,2020-12-17 18:19:00,2020-12-17 18:22:00,Playstation Direct ,False,False,1608229140000,1608229320000,96,Playstation Direct 2020-12-17T18:19:00 to 2020-12-17T18:22:00,Playstation Direct 
97,2020-12-17 15:21:00,2020-12-17 15:21:00,Walmart ,False,False,1608218460000,1608218460000,97,Walmart 2020-12-17T15:21:00 to 2020-12-17T15:21:00,Walmart 
98,2020-12-16 16:12:00,2020-12-16 16:22:00,Playstation Direct ,True,False,1608135120000,1608135720000,98,Playstation Direct Digital Edition 2020-12-16T16:12:00 to 2020-12-16T16:22:00,Playstation Direct 
99,2020-12-16 16:04:00,2020-12-16 16:10:00,Playstation Direct ,True,False,1608134640000,1608135000000,99,Playstation Direct Digital Edition 2020-12-16T16:04:00 to 2020-12-16T16:10:00,Playstation Direct 
100,2020-12-15 15:40:00,2020-12-15 15:46:00,Walmart ,False,False,1608046800000,1608047160000,100,Walmart 2020-12-15T15:40:00 to 2020-12-15T15:46:00,Walmart 
101,2020-12-15 15:31:00,2020-12-15 15:37:00,Walmart ,False,False,1608046260000,1608046620000,101,Walmart 2020-12-15T15:31:00 to 2020-12-15T15:37:00,Walmart 
102,2020-12-15 15:21:00,2020-12-15 15:25:00,Walmart ,False,False,1608045660000,1608045900000,102,Walmart 2020-12-15T15:21:00 to 2020-12-15T15:25:00,Walmart 
103,2020-12-15 15:11:00,2020-12-15 15:18:00,Walmart ,False,False,1608045060000,1608045480000,103,Walmart 2020-12-15T15:11:00 to 2020-12-15T15:18:00,Walmart 
104,2020-12-15 15:03:00,2020-12-15 15:05:00,Walmart ,False,False,1608044580000,1608044700000,104,Walmart 2020-12-15T15:03:00 to 2020-12-15T15:05:00,Walmart 
105,2020-12-11 16:53:00,2020-12-11 17:09:00,Playstation Direct ,True,False,1607705580000,1607706540000,105,Playstation Direct Digital Edition 2020-12-11T16:53:00 to 2020-12-11T17:09:00,Playstation Direct 
106,2020-12-11 16:49:00,2020-12-11 16:51:00,Playstation Direct ,True,False,1607705340000,1607705460000,106,Playstation Direct Digital Edition 2020-12-11T16:49:00 to 2020-12-11T16:51:00,Playstation Direct 
107,2020-12-10 18:13:00,2020-12-10 18:23:00,Playstation Direct ,True,False,1607623980000,1607624580000,107,Playstation Direct Digital Edition 2020-12-10T18:13:00 to 2020-12-10T18:23:00,Playstation Direct 
108,2020-12-10 18:15:00,2020-12-10 18:18:00,Playstation Direct ,False,False,1607624100000,1607624280000,108,Playstation Direct 2020-12-10T18:15:00 to 2020-12-10T18:18:00,Playstation Direct 
109,2020-12-10 18:00:00,2020-12-10 18:14:00,Playstation Direct ,False,False,1607623200000,1607624040000,109,Playstation Direct 2020-12-10T18:00:00 to 2020-12-10T18:14:00,Playstation Direct 
110,2020-12-10 18:03:00,2020-12-10 18:11:00,Playstation Direct ,True,False,1607623380000,1607623860000,110,Playstation Direct Digital Edition 2020-12-10T18:03:00 to 2020-12-10T18:11:00,Playstation Direct 
111,2020-12-09 15:36:00,2020-12-09 15:52:00,Playstation Direct ,False,False,1607528160000,1607529120000,111,Playstation Direct 2020-12-09T15:36:00 to 2020-12-09T15:52:00,Playstation Direct 
112,2020-12-09 15:30:00,2020-12-09 15:34:00,Playstation Direct ,False,False,1607527800000,1607528040000,112,Playstation Direct 2020-12-09T15:30:00 to 2020-12-09T15:34:00,Playstation Direct 
113,2020-12-09 06:15:00,2020-12-09 06:18:00,Target ,False,False,1607494500000,1607494680000,113,Target 2020-12-09T06:15:00 to 2020-12-09T06:18:00,Target 
114,2020-12-08 18:17:00,2020-12-08 18:30:00,Playstation Direct ,False,False,1607451420000,1607452200000,114,Playstation Direct 2020-12-08T18:17:00 to 2020-12-08T18:30:00,Playstation Direct 
115,2020-12-04 16:28:00,2020-12-04 16:35:00,Playstation Direct ,False,False,1607099280000,1607099700000,115,Playstation Direct 2020-12-04T16:28:00 to 2020-12-04T16:35:00,Playstation Direct 
