,from,to,store,digital,preorder,Start Date,End Date,Task ID,Task Name,Resource
29,2021-02-26 12:14:00,2021-02-26 12:27:00,Best Buy ,True,False,1614341640000,1614342420000,29,Best Buy Digital Edition 2021-02-26T12:14:00 to 2021-02-26T12:27:00,Best Buy 
30,2021-02-25 08:41:00,2021-02-25 08:42:00,Target ,True,False,1614242460000,1614242520000,30,Target Digital Edition 2021-02-25T08:41:00 to 2021-02-25T08:42:00,Target 
31,2021-02-25 07:50:00,2021-02-25 08:14:00,Target ,False,False,1614239400000,1614240840000,31,Target 2021-02-25T07:50:00 to 2021-02-25T08:14:00,Target 
32,2021-02-24 16:01:00,2021-02-24 16:32:00,Playstation Direct ,False,False,1614182460000,1614184320000,32,Playstation Direct 2021-02-24T16:01:00 to 2021-02-24T16:32:00,Playstation Direct 
33,2021-02-24 16:01:00,2021-02-24 16:22:00,Playstation Direct ,True,False,1614182460000,1614183720000,33,Playstation Direct Digital Edition 2021-02-24T16:01:00 to 2021-02-24T16:22:00,Playstation Direct 
34,2021-02-22 17:31:00,2021-02-22 18:02:00,Playstation Direct ,False,False,1614015060000,1614016920000,34,Playstation Direct 2021-02-22T17:31:00 to 2021-02-22T18:02:00,Playstation Direct 
35,2021-02-22 17:32:00,2021-02-22 17:50:00,Playstation Direct ,True,False,1614015120000,1614016200000,35,Playstation Direct Digital Edition 2021-02-22T17:32:00 to 2021-02-22T17:50:00,Playstation Direct 
36,2021-02-19 11:29:00,2021-02-19 12:23:00,Best Buy ,False,False,1613734140000,1613737380000,36,Best Buy 2021-02-19T11:29:00 to 2021-02-19T12:23:00,Best Buy 
37,2021-02-19 11:35:00,2021-02-19 11:37:00,Best Buy ,True,False,1613734500000,1613734620000,37,Best Buy Digital Edition 2021-02-19T11:35:00 to 2021-02-19T11:37:00,Best Buy 
38,2021-02-17 18:32:00,2021-02-17 18:58:00,Playstation Direct ,True,False,1613586720000,1613588280000,38,Playstation Direct Digital Edition 2021-02-17T18:32:00 to 2021-02-17T18:58:00,Playstation Direct 
39,2021-02-17 18:32:00,2021-02-17 18:52:00,Playstation Direct ,False,False,1613586720000,1613587920000,39,Playstation Direct 2021-02-17T18:32:00 to 2021-02-17T18:52:00,Playstation Direct 
40,2021-02-17 18:18:00,2021-02-17 18:20:00,Playstation Direct ,False,False,1613585880000,1613586000000,40,Playstation Direct 2021-02-17T18:18:00 to 2021-02-17T18:20:00,Playstation Direct 
41,2021-02-17 07:47:00,2021-02-17 07:50:00,Target ,False,False,1613548020000,1613548200000,41,Target 2021-02-17T07:47:00 to 2021-02-17T07:50:00,Target 
42,2021-02-16 08:07:00,2021-02-16 08:10:00,Target ,True,False,1613462820000,1613463000000,42,Target Digital Edition 2021-02-16T08:07:00 to 2021-02-16T08:10:00,Target 
43,2021-02-16 03:15:00,2021-02-16 03:36:00,Amazon ,False,False,1613445300000,1613446560000,43,Amazon 2021-02-16T03:15:00 to 2021-02-16T03:36:00,Amazon 
44,2021-02-12 17:04:00,2021-02-12 17:22:00,Playstation Direct ,False,False,1613149440000,1613150520000,44,Playstation Direct 2021-02-12T17:04:00 to 2021-02-12T17:22:00,Playstation Direct 
45,2021-02-12 16:59:00,2021-02-12 17:02:00,Playstation Direct ,False,False,1613149140000,1613149320000,45,Playstation Direct 2021-02-12T16:59:00 to 2021-02-12T17:02:00,Playstation Direct 
